Name,Symbol,Last,Chg. %,Market Cap,Vol.,,
Apple,AAPL,112.28,3.75%,1.92T,149.98M,,
Microsoft,MSFT,207.82,2.28%,1.57T,29.44M,,
Alphabet C,GOOG,1444.96,1.17%,982.81B,1.32M,,
Alphabet A,GOOGL,1439.06,1.14%,978.80B,1.52M,,
Facebook,FB,254.82,2.12%,725.94B,18.35M,,
NVIDIA,NVDA,514.95,4.26%,317.72B,14.70M,,
Adobe,ADBE,479.78,2.59%,230.16B,2.54M,,
Intel,INTC,49.94,1.59%,212.39B,26.63M,,
Cisco,CSCO,38.45,1.59%,162.78B,22.97M,,
Broadcom,AVGO,356.8,1.21%,144.33B,1.82M,,
Qualcomm,QCOM,114.5,2.06%,129.19B,11.72M,,
Texas Instruments,TXN,138.32,1.19%,126.69B,3.04M,,
Zoom Video,ZM,496.5,6.78%,119.49B,12.91M,,
AMD,AMD,78.06,2.95%,91.64B,48.21M,,
Intuit,INTU,318.5,3.21%,83.39B,1.24M,,
Fiserv,FISV,102.13,3.92%,68.39B,4.46M,,
Equinix,EQIX,751.32,2.40%,66.53B,251.11K,,
NetEase,NTES,472.14,0.41%,64.99B,336.79K,,
Activision Blizzard,ATVI,80.98,1.62%,62.51B,4.95M,,
Micron,MU,49.14,-0.67%,54.59B,17.77M,,
Applied Materials,AMAT,58.23,0.76%,53.16B,6.54M,,
Workday,WDAY,215.78,3.40%,51.14B,1.22M,,
Autodesk,ADSK,227.8,3.10%,49.95B,1.05M,,
Atlassian Corp Plc,TEAM,181.29,3.13%,44.04B,690.45K,,
Illumina,ILMN,299.89,4.74%,43.89B,4.34M,,
Baidu,BIDU,123.79,0.02%,42.66B,3.21M,,
Analog Devices,ADI,113.48,0.71%,41.94B,2.29M,,
DocuSign,DOCU,212.36,4.17%,38.97B,3.45M,,
Electronic Arts,EA,131.19,1.45%,37.89B,1.92M,,
Cognizant A,CTSH,68.08,1.76%,36.92B,2.76M,,
LM Ericsson B ADR,ERIC,10.48,-0.10%,34.62B,7.77M,,
NXP,NXPI,119.83,0.56%,33.46B,2.04M,,
CoStar,CSGP,840,2.55%,33.07B,165.40K,,
Synopsys,SNPS,208.5,3.47%,31.64B,808.70K,,
Splunk,SPLK,184.89,5.10%,29.66B,1.87M,,
KLA-Tencor,KLAC,187.91,1.83%,29.15B,906.86K,,
Cadence Design,CDNS,103.72,1.57%,28.92B,2.41M,,
Okta,OKTA,216.2,5.71%,26.94B,1.68M,,
ANSYS,ANSS,312.16,2.55%,26.78B,361.33K,,
Match Group,MTCH,105.75,2.24%,25.55B,1.85M,,
Marvell,MRVL,38.05,0.40%,25.50B,5.83M,,
